,Unnamed: 0,UNITID,INSTNM,CITY,STABBR,REGION,LATITUDE,LONGITUDE,PREDDEG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,ADM_RATE,SAT_AVG,ACTCMMID,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
148,3176,213385,LAFAYETTECOLLEGE,Easton,PA,2,40.700512,-75.209058,3,61905.0,,47760.0,47760.0,,0.8961,0.8908,0.9643,0.8421,0.9545,,1.0,1.0,0.8864,0.8968,0.3025,1294.0,29.0,Lafayette College,Liberal Arts,"$53,900.00","$107,000.00","$70,600.00","$79,300.00","$144,000.00","$204,000.00"
149,3208,214157,MORAVIANCOLLEGE,Bethlehem,PA,2,40.630888,-75.38097900000002,3,49902.0,,38832.0,38832.0,,0.6859999999999999,0.6967,0.6364,0.6111,0.625,1.0,1.0,0.8889,0.0,0.0,0.7457,1006.0,21.0,Moravian College,Liberal Arts,"$42,500.00","$74,400.00",,"$56,700.00","$94,900.00",
150,3251,215062,UNIVERSITYOFPENNSYLVANIA,Philadelphia,PA,2,39.951002,-75.193618,3,64200.0,,49536.0,49536.0,,0.9534,0.9609,0.9351,0.9186,0.9674,0.9167,,,0.96,0.9408,0.1016,1457.0,33.0,University of Pennsylvania,Ivy League,"$60,900.00","$120,000.00","$55,900.00","$79,200.00","$192,000.00","$282,000.00"
151,3299,216287,SWARTHMORECOLLEGE,Swarthmore,PA,2,39.904081,-75.356066,3,62450.0,,47442.0,47442.0,,0.9391,0.9455,0.8519,0.9388,0.9811,1.0,,0.92,0.8846,0.9556,0.1248,1431.0,32.0,Swarthmore College,Liberal Arts,"$49,700.00","$104,000.00",,"$67,200.00","$167,000.00",
152,3312,216524,URSINUSCOLLEGE,Collegeville,PA,2,40.19405,-75.45565400000002,3,60674.0,,47700.0,47700.0,,0.778,0.7931,0.64,0.7692,0.8,,,1.0,0.5,0.6667,0.8261,,,Ursinus College,Liberal Arts,"$42,100.00","$80,000.00","$35,600.00","$54,300.00","$100,000.00","$160,000.00"
153,3334,217156,BROWNUNIVERSITY,Providence,RI,1,41.827605,-71.40446700000003,3,62694.0,,49346.0,49346.0,,0.9597,0.9712,0.9178,0.9441,0.9493,0.8,1.0,0.9773,0.9379,0.9776,0.0949,1457.0,33.0,Brown University,Ivy League,"$56,200.00","$109,000.00","$55,400.00","$74,400.00","$159,000.00","$228,000.00"
154,3343,217484,UNIVERSITYOFRHODEISLAND,Kingston,RI,1,41.484691,-71.52735600000003,3,27100.0,,12862.0,28852.0,,0.6321,0.6578,0.4667,0.4894,0.6216,0.375,0.5,,0.1538,0.648,0.7355,1077.0,24.0,University of Rhode Island (URI),State,"$43,900.00","$85,300.00","$45,400.00","$60,100.00","$112,000.00","$157,000.00"
155,3364,217882,CLEMSONUNIVERSITY,Clemson,SC,5,34.677329,-82.834463,3,26373.0,,14272.0,33190.0,,0.8091,0.8258,0.6525,0.7581,0.7391,0.4444,1.0,0.78,0.7143,0.875,0.5127,1275.0,29.0,Clemson University,State,"$48,400.00","$86,000.00","$50,500.00","$61,800.00","$111,000.00","$150,000.00"
156,3414,219046,BLACKHILLSSTATEUNIVERSITY,Spearfish,SD,4,44.495536,-103.870009,3,18430.0,,8004.0,10586.0,,0.3611,0.3784,0.25,0.3158,1.0,0.1176,,0.2222,0.8,0.0,0.8404,988.0,21.0,Black Hills State University,State,"$35,300.00","$43,900.00","$27,000.00","$32,200.00","$60,900.00","$87,600.00"
157,3431,219356,SOUTHDAKOTASTATEUNIVERSITY,Brookings,SD,4,44.31942,-96.783415,3,24820.0,,8172.0,11053.0,,0.5414,0.5596,0.3077,0.2778,0.5,0.1875,0.0,0.4444,0.7857,0.0,0.917,1068.0,23.0,South Dakota State University (SDSU),State,"$41,100.00","$73,500.00","$34,100.00","$49,900.00","$99,400.00","$129,000.00"
